Entry,Ligand_SMILES,Substrate_SMILES,Yield,tokenized_ligand,tokenized_substrate
14,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCP(C3=CC=CC=C3)C4=CC=CC=C4,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,3.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C C P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4,O = C ( C 1 = C C = C ( F ) C = C 1 ) C 2 = C C = C ( F ) C = C 2
15,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCP(C3=CC=CC=C3)C4=CC=CC=C4,CC(C1=CC=CC=C1)=O,3.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C C P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4,C C ( C 1 = C C = C C = C 1 ) = O
16,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCP(C3=CC=CC=C3)C4=CC=CC=C4,O=C(C1=CC=CC=C1)C(F)(F)F,28.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C C P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4,O = C ( C 1 = C C = C C = C 1 ) C ( F ) ( F ) F
17,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCP(C3=CC=CC=C3)C4=CC=CC=C4,O=C(C1CCCCC1)C2=CC=CC=C2,1.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C C P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4,O = C ( C 1 C C C C C 1 ) C 2 = C C = C C = C 2
18,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCP(C3=CC=CC=C3)C4=CC=CC=C4,O=C1CCCC2=CC=CC=C21,1.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C C P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4,O = C 1 C C C C 2 = C C = C C = C 2 1
19,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCP(C3=CC=CC=C3)C4=CC=CC=C4,O=C1CCC2=CC=CC=C2C1,31.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C C P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4,O = C 1 C C C 2 = C C = C C = C 2 C 1
20,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCP(C3=CC=CC=C3)C4=CC=CC=C4,O=C(C1CCCCC1)C2CCCCC2,0.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C C P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4,O = C ( C 1 C C C C C 1 ) C 2 C C C C C 2
21,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCP(C3=CC=CC=C3)C4=CC=CC=C4,O=C(C1=CC=CC=C1)C2=CC=CC=C2,5.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C C C P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4,O = C ( C 1 = C C = C C = C 1 ) C 2 = C C = C C = C 2
22,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCP(C3=CC=CC=C3)C4=CC=CC=C4,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,1.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C C C P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4,O = C ( C 1 = C C = C ( C ) C = C 1 ) C 2 = C C = C ( C ) C = C 2
23,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCP(C3=CC=CC=C3)C4=CC=CC=C4,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,1.0,P ( C 1 = C C = C C = C 1 ) ( C 2 = C C = C C = C 2 ) C C C P ( C 3 = C C = C C = C 3 ) C 4 = C C = C C = C 4,O = C ( C 1 = C C = C ( C = C 1 ) O C ) C 2 = C C = C ( C = C 2 ) O C
